c,figi,h,interval,l,o,time,v
108.85,BBG000BVMGF2,108.85,1min,108.85,108.85,2021-12-08 22:20:00+00:00,200
108.6,BBG000BVMGF2,108.6,1min,108.6,108.6,2021-12-08 22:21:00+00:00,660
108.5,BBG000BVMGF2,108.6,1min,108.5,108.6,2021-12-08 22:22:00+00:00,330
108.79,BBG000BVMGF2,108.79,1min,108.79,108.79,2021-12-08 22:23:00+00:00,45
108,BBG000BVMGF2,108.71,1min,108,108.08,2021-12-08 22:25:00+00:00,728
107.8,BBG000BVMGF2,107.95,1min,107.51,107.51,2021-12-08 22:26:00+00:00,317
108.11,BBG000BVMGF2,108.11,1min,108.11,108.11,2021-12-08 22:27:00+00:00,2
107.78,BBG000BVMGF2,107.78,1min,107.78,107.78,2021-12-08 22:34:00+00:00,1
108.37,BBG000BVMGF2,108.37,1min,108.37,108.37,2021-12-09 07:00:00+00:00,1
108.72,BBG000BVMGF2,108.94,1min,108.19,108.48,2021-12-09 07:26:00+00:00,86
108.1,BBG000BVMGF2,108.1,1min,108.1,108.1,2021-12-09 07:28:00+00:00,1
108.65,BBG000BVMGF2,108.65,1min,108.65,108.65,2021-12-09 07:29:00+00:00,1
108.66,BBG000BVMGF2,108.66,1min,108.66,108.66,2021-12-09 07:31:00+00:00,1
108.64,BBG000BVMGF2,108.64,1min,108.64,108.64,2021-12-09 07:33:00+00:00,1
108.63,BBG000BVMGF2,108.63,1min,108.63,108.63,2021-12-09 07:34:00+00:00,1
108.64,BBG000BVMGF2,108.64,1min,108.64,108.64,2021-12-09 07:41:00+00:00,1
107.53,BBG000BVMGF2,108.1,1min,107.52,108.1,2021-12-09 07:46:00+00:00,61
108.47,BBG000BVMGF2,108.47,1min,108.47,108.47,2021-12-09 07:49:00+00:00,1
107.66,BBG000BVMGF2,107.66,1min,107.66,107.66,2021-12-09 08:31:00+00:00,1
107.67,BBG000BVMGF2,107.67,1min,107.67,107.67,2021-12-09 08:40:00+00:00,1
108.02,BBG000BVMGF2,108.02,1min,108.02,108.02,2021-12-09 08:48:00+00:00,1
107.64,BBG000BVMGF2,107.64,1min,107.64,107.64,2021-12-09 08:59:00+00:00,1
107.64,BBG000BVMGF2,107.64,1min,107.64,107.64,2021-12-09 09:01:00+00:00,1
107.3,BBG000BVMGF2,107.5,1min,107.3,107.5,2021-12-09 09:02:00+00:00,3
106.01,BBG000BVMGF2,107.3,1min,106.01,107.16,2021-12-09 09:04:00+00:00,76
107,BBG000BVMGF2,107,1min,107,107,2021-12-09 09:06:00+00:00,1
106.99,BBG000BVMGF2,106.99,1min,106.99,106.99,2021-12-09 09:08:00+00:00,7
106.99,BBG000BVMGF2,106.99,1min,106.99,106.99,2021-12-09 09:16:00+00:00,2
107,BBG000BVMGF2,107,1min,106.99,106.99,2021-12-09 09:18:00+00:00,4
