operationType,price,balance,date
BUY,76.78,37.38499999999999,2015-02-23
SELL,77.83,115.21499999999999,2015-03-04
BUY,77.97,37.24499999999999,2015-03-10
SELL,81.285,118.52999999999999,2015-03-18
BUY,78.755,39.77499999999999,2015-05-20
SELL,82.41,122.18499999999999,2015-08-19
BUY,82.41,39.77499999999999,2015-08-19
SELL,74.59,114.365,2015-08-24
BUY,79.03,35.334999999999994,2015-09-24
SELL,76.67500000000001,112.01,2015-10-30
BUY,78.045,33.965,2015-11-04
SELL,77.64500000000001,111.61000000000001,2015-11-05
BUY,70.71000000000001,40.900000000000006,2015-11-18
SELL,73.14,114.04,2015-11-30
