operationType,price,balance,date
BUY,45.085,23.165,2019-06-20
SELL,43.89,67.055,2019-07-12
BUY,44.42,22.635000000000005,2019-07-16
SELL,44.42,67.055,2019-07-16
BUY,43.475,23.580000000000005,2019-07-23
SELL,44.08,67.66,2019-07-29
BUY,39.254999999999995,28.405,2019-08-05
SELL,40.230000000000004,68.635,2019-08-07
BUY,40.230000000000004,28.405,2019-08-07
SELL,39.675,68.08,2019-08-09
BUY,39.675,28.405,2019-08-09
SELL,38.91,67.315,2019-08-12
BUY,33.925,33.39,2019-08-15
BUY,33.21,0.17999999999999972,2019-08-27
SELL,31.795,31.975,2019-09-04
SELL,32.665,64.64,2019-09-05
BUY,32.33,32.31,2019-09-10
SELL,32.33,64.64,2019-09-10
BUY,33.785,30.855000000000004,2019-09-11
SELL,34.790000000000006,65.64500000000001,2019-09-12
BUY,33.879999999999995,31.765000000000015,2019-09-16
SELL,33.879999999999995,65.64500000000001,2019-09-16
BUY,33.879999999999995,31.765000000000015,2019-09-16
SELL,34.515,66.28000000000002,2019-09-18
BUY,32.085,34.195000000000014,2019-09-24
BUY,31.575,2.620000000000015,2019-09-25
SELL,29.619999999999997,32.24000000000001,2019-10-09
SELL,29.619999999999997,61.86000000000001,2019-10-09
BUY,29.619999999999997,32.24000000000001,2019-10-09
SELL,29.235,61.47500000000001,2019-10-10
BUY,29.235,32.24000000000001,2019-10-10
BUY,29.634999999999998,2.605000000000011,2019-10-11
SELL,29.634999999999998,32.24000000000001,2019-10-11
BUY,29.634999999999998,2.605000000000011,2019-10-11
SELL,31.689999999999998,34.29500000000001,2019-10-15
SELL,31.689999999999998,65.98500000000001,2019-10-15
BUY,31.689999999999998,34.295000000000016,2019-10-15
SELL,31.884999999999998,66.18,2019-10-16
BUY,31.884999999999998,34.29500000000001,2019-10-16
SELL,32.239999999999995,66.535,2019-10-17
BUY,32.565,33.97,2019-10-22
BUY,32.845,1.125,2019-10-23
SELL,32.95,34.075,2019-10-29
BUY,33.225,0.8500000000000014,2019-10-30
SELL,33.225,34.075,2019-10-30
BUY,33.225,0.8500000000000014,2019-10-30
SELL,32.84,33.690000000000005,2019-10-31
SELL,31.44,65.13000000000001,2019-11-01
BUY,31.44,33.69000000000001,2019-11-01
BUY,31.72,1.970000000000013,2019-11-04
SELL,31.72,33.69000000000001,2019-11-04
BUY,31.72,1.970000000000013,2019-11-04
SELL,31.72,33.69000000000001,2019-11-04
SELL,31.72,65.41000000000001,2019-11-04
BUY,29.15,36.26000000000001,2019-11-05
SELL,29.15,65.41000000000001,2019-11-05
BUY,29.15,36.26000000000001,2019-11-05
SELL,27.54,63.80000000000001,2019-11-06
BUY,27.54,36.26000000000001,2019-11-06
BUY,27.54,8.720000000000013,2019-11-06
SELL,27.54,36.26000000000001,2019-11-06
BUY,27.54,8.720000000000013,2019-11-06
SELL,27.54,36.26000000000001,2019-11-06
SELL,27.525,63.78500000000001,2019-11-07
BUY,27.174999999999997,36.610000000000014,2019-11-12
SELL,27.025,63.63500000000001,2019-11-13
BUY,27.025,36.610000000000014,2019-11-13
SELL,26.354999999999997,62.96500000000001,2019-11-14
BUY,27.14,35.82500000000001,2019-11-18
SELL,27.15,62.97500000000001,2019-11-19
BUY,28.875,34.10000000000001,2019-11-21
BUY,28.875,5.2250000000000085,2019-11-21
SELL,28.875,34.10000000000001,2019-11-21
SELL,29.63,63.730000000000004,2019-11-22
BUY,29.439999999999998,34.290000000000006,2019-11-25
SELL,29.439999999999998,63.730000000000004,2019-11-25
BUY,29.1,34.63,2019-12-03
BUY,29.1,5.530000000000001,2019-12-03
SELL,29.35,34.88,2019-12-04
SELL,29.174999999999997,64.055,2019-12-05
BUY,29.174999999999997,34.88000000000001,2019-12-05
BUY,28.244999999999997,6.635000000000012,2019-12-06
SELL,28.244999999999997,34.88000000000001,2019-12-06
BUY,28.244999999999997,6.635000000000012,2019-12-06
SELL,28.244999999999997,34.88000000000001,2019-12-06
BUY,28.244999999999997,6.635000000000012,2019-12-06
SELL,28.155,34.79000000000001,2019-12-11
BUY,28.770000000000003,6.02000000000001,2019-12-12
SELL,28.619999999999997,34.64000000000001,2019-12-13
SELL,29.58,64.22,2019-12-16
BUY,29.58,34.64,2019-12-16
BUY,29.58,5.060000000000002,2019-12-16
SELL,29.92,34.980000000000004,2019-12-18
SELL,29.92,64.9,2019-12-18
BUY,29.92,34.980000000000004,2019-12-18
BUY,30.395,4.585000000000004,2019-12-19
SELL,30.395,34.980000000000004,2019-12-19
SELL,30.395,65.375,2019-12-19
BUY,30.375,35.0,2019-12-20
BUY,30.490000000000002,4.509999999999998,2019-12-23
SELL,30.270000000000003,34.78,2019-12-24
SELL,30.435000000000002,65.215,2019-12-27
BUY,30.435000000000002,34.78,2019-12-27
SELL,30.049999999999997,64.83,2019-12-30
BUY,29.775,35.055,2019-12-31
SELL,29.775,64.83,2019-12-31
